10110100100111010110010110110001 01110010011111110110001101001011 100100 00 000100111000111001100100011111100
10011010010010111110010101010111 11101100010001010000111011001111 101010 10 000000000000000000000000000000001
00101101010001110110110110111010 00000010000101100101111100010101 101010 01 000101011001100010000111010100101
11110010110100010100011011111100 11101010101001011101100000010110 100010 00 111011101011101110001111100010010
10010011110110101001110000010001 10011010011101110101101000110000 100100 01 111111001011000110100000111100001
11111000101101101000111011101011 11101110010101101000000100001110 100101 00 111100111000011010000111111111001
01111011111101101010010000000000 01101110100000011001001011101101 100100 10 001101010100000001000000000000000
10010100010101001001000111100111 01011111011010000001110011001110 100010 00 111110011101111001010111010110101
11111101111101010011000001000100 00110100010000010110010111010100 100000 00 000110010001101101001011000011000
10100110010110010010000000010100 11100000001000001001111010110100 101010 01 111000110001110001000000101100000
